Video ID;Central_Object;Texture;Color;Size_Shape;Object_2;Object_3;Object_4;Environment;Lighting;Video_Clarity;Movement_Behavior;Camera_Position;Camera_Angle;Caption
0023.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny, yellow bioluminescent creatures reflect light from the diver's torch. Drifting gently in the underwater realm, they create vivid scenery. The panoramic transition from horizontal to still movement evokes a mystical space.
0024.mp4;Sứa Venus girdle;;trong suốt;tầm trung;sinh vật phù du;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The Venus girdle jellyfish, transparent yet iridescent, epitomizes the ephemeral beauty of marine life. Drifting gently in the underwater realm, they create a vivid spectacle. Their graceful movement, from horizontal glides to serene advances, crafts a sense of mystical space.
0025.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0026.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;Sứa Venus girdle;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;In the depths of the ocean, a tiny, elusive yellow creature is easily overlooked if not carefully observed. Illuminated by the diver's light, the Venus girdle jellyfish glides gracefully, creating a mystical scene as it rotates and drifts.
0027.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0028.mp4;Sứa Venus girdle;;trong suốt;tầm trung;sinh vật phù du;Tôm ma;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The Venus girdle jellyfish, transparent yet iridescent, epitomizes the ephemeral beauty of marine life. Drifting gently in the underwater realm, they create a vivid spectacle. Their graceful movement, from horizontal glides to serene advances, crafts a sense of mystical space.
0029.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0030.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;Sứa Venus girdle;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0031.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0032.mp4;Sứa Venus girdle;;trong suốt, có điểm ánh vàng;ngắn;sinh vật phù du;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;"""The Venus girdle jellyfish is a striking highlight with its translucent, short golden shimmer. The ephemeral creatures surrounding it make the scene even more vibrant. They drift gently, creating a mystical space as the scene transitions from a horizontal panorama to a serene advance."""
0033.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0034.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0035.mp4;Sứa Venus girdle;;trong suốt;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;"""The transparent Venus girdle jellyfish showcases the beauty of transient creatures. Drifting gently in the underwater realm, they create vivid scenes. Their graceful movements, transitioning from horizontal rotation to tranquil gliding, craft a mysterious ambiance."""
0036.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0037.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0038.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0039.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0040.mp4;Sứa Venus girdle;;trong suốt;tầm trung;một vài sinh vật phù du xung quanh;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;In the clear waters, the Venus girdle jellyfish - a species known for its translucent appearance - stands out beautifully. Several transient creatures around it add to the vividness of the scene. They drift gently, creating a mysterious ambiance as the scene transitions from a horizontal panorama to a serene advance
0041.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0042.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0043.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;thợ lặn;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;In the underwater realm, small golden creatures, reflecting the light from the diver's torch, drift gently. The clear panorama creates a mysterious space, as the horizontal angle moves steadily forward, providing an intriguing experience for observers.
0044.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.
0045.mp4;Sứa Venus girdle;;trong suốt;dài;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;In the depths of the ocean, the Venus girdle jellyfish resembles a long, translucent ribbon, strikingly prominent. With its gentle drifting, it creates a scene of mystery, as it sways horizontally and gracefully moves forward, forming a vibrant and impressive living space.
