Video ID;Central_Object;Texture;Color;Size_Shape;Object_2;Object_3;Object_4;Environment;Lighting;Video_Clarity;Movement_Behavior;Camera_Position;Camera_Angle;Caption;Folder;complexity
WestPalmBeach_May2023/0166.mp4;xác tàu đắm;;gỉ sét;khá lớn;;;;nước trong xanh;sâu trung bình, ánh sáng mặt trời;chất lượng tốt, rõ;;quay xung quanh;góc quay rộng, toàn cảnh;A rusty, fairly large shipwreck lies under clear blue water. Sunlight creates good, clear quality. Filming around with a wide angle, panoramic view captures the details of the wreck and its mysterious beauty.;WestPalmBeach_May2023;simple
Oahu1_Jul2022/0061.mp4;1 đàn cá Acanthus blochii;;;kích thước bé;;;;nước trong xanh;;chất lượng cao, quay rõ nét;đàn cá đang bơi;video quay cận cảnh, rõ nét đàn cá;góc quay ngang bao quát toàn cảnh;Beneath the clear blue sea, a small school of Acanthus blochii fish swims through the marine space. The high-quality video captures every detail, from wide, panoramic views to close-up, sharp shots of the school of fish.;Oahu1_Jul2022;simple
 however, the image quality is low and blurry. The camera angle provides a panoramic view of the entire scene./0134.mp4;1 con cá mập trắng;;màu xám;kích thước lớn;;;;nước hơi đục;;chất lượng thấp, mờ;1 con cá mập trắng đang bơi giữa đại dương;video quay cận cảnh con cá mập;góc quay ngang bao quát toàn cảnh;Under the ocean floor, a large gray Great White Shark swims through the vast ocean. Despite the slightly murky water, the video captures close-up shots of the shark; however, the image quality is low and blurry. The camera angle provides a panoramic view of the entire scene.;simple
Molokai_Jul2022/0041.mp4;1 con cá mập đầu búa;;màu xám;kích thước lớn;;;;nước xanh lam;;chất lượng cao, quay rõ nét;1 con cá mập đầu búa đang bơi;video quay rõ nét cận cảnh con cá mập đầu búa;góc quay ngang bao quát toàn cảnh;In the cerulean blue water, a large gray hammerhead shark is swimming. The video is captured in high quality, recording every detail of the shark sharply. The horizontal angle provides a panoramic view of the entire underwater scene.;Molokai_Jul2022;simple
LaJolle_KelpBed_22Apr2023/0032.mp4;loài sinh vật lạ;có những gái nhọn bằng thịt nhô ra tạo cho cảm giác gây sát thương của loài này;có màu cảm đặc trưng cùng bộ da sần sùi;kích thước vừa;;;;môi tường nước trong và sạch sẽ;;độ nét video không bị ảnh hưởng từ môi rường bên ngoài;con vật nằm im không chuyển động;vị trí cảm quay từng bộ phận của loài vật này;góc máy quang ngang để cho mọi người thấy rõ từng bộ phận của sinh vật lạ;The strange creature has fleshy spikes protruding, creating a sense of damage. It has a characteristic orange color with rough skin and a moderate size. The water environment is clear and clean. Video has high definition, not affected by the external environment. The creature lay still and did not move. The camera films each part of this animal with a horizontal angle, helping people clearly see every detail of the strange creature.;LaJolle_KelpBed_22Apr2023;simple
TelAviv_Caesarea_Oct2022/0009.mp4;đàn cá siêu nhỏ bơi trên gần bề mặt nước biển;bơi theo đàn với số lượng lớn;màu sác kết hợp giữa xám và xanh;kích thước siêu nhỏ;;;;môi trường nước sạch;ánh sáng có thể chiếu xuyên qua môi trường này;video có độ rõ nét vừa phải không sắc sảo;đà cá bơi với tốc độ chậm;vị trí camera toàn phần, có thể cho người xem thấy độ lớn của đàn cá nhỏ mini cũng như là số lượng nhiều;góc  máy quay dọc, cho n tìm thấy hình ảnh đoàn cá trong nước;"A school of super tiny fish swims near the surface of the sea, moving together in large numbers. They have a color combination of gray and green, and are incredibly small in size.

The water environment is clean, with light able to penetrate through, resulting in a moderately clear video. The fish swim slowly.

The camera is positioned to capture the entire scene, allowing viewers to see the size and abundance of the mini fish school. It is angled vertically to capture the image of the fish school underwater.";TelAviv_Caesarea_Oct2022;simple
BigIsland_BlackWaterDive_Jan6_2023/0042.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.;BigIsland_BlackWaterDive_Jan6_2023;simple
Molokai_Jul2022/0044.mp4;1 con cá mập đầu búa;;;kích thước lớn;;;;nước xanh lam;;chất lượng thấp, không rõ nét;1 con cá mập đầu búa đang bơi;video chỉ quay thấy hình ảnh mập mờ của 1 con cá mập đầu búa, không thấy rõ nét;góc quay ngang bao quát toàn cảnh;In the azure blue water, a massive hammerhead shark of considerable size is moving. However, the video is captured in low quality, blurry, only depicting vague images of the shark, making it difficult to discern details. The horizontal angle only reveals a partial view of the scene.;Molokai_Jul2022;simple
WestPalmBeach_May2023/0013.mp4;cá mập;;màu xám;kích thước to lớn;;;;nước biển xanh đậm;;video có chất lượng rõ nét;cá mập bơi chậm và bơi vòng vòng;camera quay toàn cảnh cá mập di chuyển;góc máy quay tĩnh cá mập;The video presents clear and high-definition footage of a large gray shark, moving slowly and creating elegant loops in the deep blue seawater. The camera captures the shark's movements to provide a comprehensive view of its behavior. A static camera angle is utilized to ensure a stable and detailed image of the shark in its natural environment.;WestPalmBeach_May2023;simple
Padangbai_Jun2022/0045.mp4;khung cảnh xung quanh tảng đá;lớn, gồ ghề;màu xanh rêu;khá lớn;;;;môi trường nước trong suốt;ánh sáng chiếu sáng qua mặt nước;video có chất lượng rõ nét;;vị trí camera quay toàn cảnh;góc máy quay ngang;The scenery surrounding the large, rugged rocks is often covered by a mossy green hue. In the transparent water environment with light shining through the surface, the video is recorded in clear quality from a horizontal camera angle, allowing for panoramic views.;Padangbai_Jun2022;simple
RajaAmpat_Jan2013/0008.MOV;đàn cá;;bạc đuôi vàng;khá bé;;;;nước trong xanh;độ sâu trung bình, sánh sáng mặt trời;chất lượng ổn, khá rõ;;quay xung quanh;góc quay ngang, toàn cảnh;The small silver fish with yellow tails swim in clear blue water. Sunlight filters through, creating a well-lit and clear viewing space. The horizontal, panoramic angle circles around the school of fish, creating a beautiful underwater scene.;RajaAmpat_Jan2013;simple
Silverstrand_Aug2022/0027.mp4;rặng đá;;nâu, gồ ghề;lớn;;;;nước trong xanh;độ sâu trung bình, có ánh sáng mặt trời;chất lượng ổn, rõ;;quay xung quanh;góc máy ngang, quay toàn cảnh;The large, rugged brown reef lies in clear blue water at medium depth, illuminated by sunlight. The water quality is very clear, with a panoramic view and horizontal angle, circling around the reef, creating an impressive underwater scene.;Silverstrand_Aug2022;simple
WestPalmBeach_May2023/0169.mp4;san hô;;nâu, nhiều rêu;khá lớn;;;;nước xanh, đục;sâu trung bình, ánh sáng mặt trời;chất lượng trung bình, mờ;;quay xung quanh;góc quay rộng, toàn cảnh;Brown coral, covered with algae, quite large, lies under murky blue water. Sunlight creates medium quality, slightly blurred. Filming around with a wide angle, panoramic view captures the diversity of the coral reef.;WestPalmBeach_May2023;simple
BigIsland_BlackWaterDive_Jan6_2023/0006.mp4;Sứa biển;;màu xanh;kích thước trung bình;;;;Nước biển xanh đậm;ánh sáng ban đêm;video có chất lượng rõ nét;Sứa biển đang di chuyển giữa dòng nước trong;quay 1 phần cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;The jellyfish, with its vibrant green color and medium size, glides through the deep blue waters under the night sky. The high-quality video captures their graceful movement. The gentle horizontal angle approaches, revealing the beauty of the jellyfish.;BigIsland_BlackWaterDive_Jan6_2023;simple
PhuQuoc1_Jun2022/0005.mp4;san hô;có nhiều cục nổi lên trên bề mặt;vàng nâu;cỡ trung bình;;;;môi trường nước trong suốt;ánh sáng chiếu sáng qua mặt nước;video có chất lượng rõ nét;;vị trí camera quay toàn cảnh;góc máy quay ngang;The coral reefs have many protuberances on the surface, with a yellow-brown color and medium size. In the transparent water environment with light shining through the surface, the video is recorded from a horizontal camera angle, providing clear and panoramic footage.;PhuQuoc1_Jun2022;simple
Sydney 2023/0038.mp4;một đàn cá biển;;màu xám;kích thước nhỏ;;;;nước biển xanh hơi đục;;video có chất  lượng rõ nét;đàn cá bơi theo đàn rất nhanh;camera quay toàn cảnh đàn cá biển;góc quay ngang;Under the slightly murky blue sea, a school of small gray sea fish is moving. The high-quality video captures the scene of them swimming in a school from wide-angle shots to horizontal angles.;Sydney 2023;simple
TelAviv_Caesarea_Oct2022/0069.mp4;đàn cá;thân hình nhỏ, dẹt như cá cơm;màu đỏ của ánh sáng, cá có màu xám;nhỏ, di chuyển theo bầy lớn.;;;;môi trường nước trong suốt;ánh sáng chiếu xuyên qua;hơi mờ;bơi lòng vòng,tốc độ trung bình.;vị trí camera quay toàn cảnh;quay xung quanh vật thể, nương theo đàn cá;"The small fish, with flat bodies resembling shrimps, are gray with a reddish hue from the light, moving in a large school. In the translucent water, light gently filters through, creating a somewhat blurry environment. They swim in circles at a moderate speed. The camera revolves around the subject, following the school of fish.






";TelAviv_Caesarea_Oct2022;simple
Tulamben_Jun2022/0095.mp4;bãi đá;;có màu đen;kích thước nhỏ nhưng có diện tích rộng;;;;môi trường nước hơi đục;ánh sáng không thể chiếu tới,cần có sự hỗ trợ của đèn pin;chất lượng video rõ nét;;vị trí camera quay toàn cảnh;góc máy quay ngang;A predominantly black rocky area, small in size but widely distributed. The water is slightly murky, requiring flashlight assistance as sunlight cannot penetrate. The video has sharp clarity, capturing the entire scene from a wide, horizontal angle.;Tulamben_Jun2022;simple
GreenIsland_April11_2023/0021.mp4;1 con cá mao tiên;;chủ yếu là màu hồng đen;kích thước nhỏ;;;;nước trong xanh;;chất lượng cao, quay rõ nét;;video quay rõ nét, dần dần phóng to vào con cá mao tiên;góc quay ngang bao quát con cá mao tiên;A lionfish appears in the frame, standing out with its pink and black hues against the clear blue water. Although small in size, the high-quality footage captures it clearly, with the camera smoothly transitioning from a wide-angle shot to a close-up of the lionfish.;GreenIsland_April11_2023;simple
SanDiego_23Apr2023/0010.mp4;xác tàu đắm;;gỉ sét;khá lớn;;;;nước biển xanh ngọc;khá sâu,dùng đèn pin;video có chất lượng rõ nét;;quay xung quanh;góc quay ngang bao quát toàn cảnh;A large, rusty shipwreck lies in the emerald green water at a significant depth, illuminated by flashlights. The high-quality video captures this scene with a panoramic, horizontal view.;SanDiego_23Apr2023;simple
Maldives_Dec2019/0005.mp4;một đàn cá mập;;màu xám;kích thước to lớn;;;;nước biển xanh đậm;;video có chất lượng rõ nét;cá mập bơi chậm , bơi vòng vòng trước camera;camera quay toàn cảnh cá mập di chuyển;góc máy quay ngang , quay gần cá mập;In the deep blue sea, large gray sharks roam. The high-quality video captures them swimming slowly, circling in front of the camera. Horizontal angles and panoramic shots ensure viewers see the sharks clearly.;Maldives_Dec2019;simple
Sydney 2023/0039.mp4;một đàn cá biển;;màu xám;kích thước nhỏ;;;;nước biển xanh hơi đục;;video có chất  lượng rõ nét;đàn cá bơi theo đàn rất nhanh;camera quay toàn cảnh đàn cá biển;góc quay ngang;In the slightly murky blue sea, a school of small gray sea fish is moving. The high-quality video captures the scene as they swim together from wide-angle shots to horizontal angles.;Sydney 2023;simple
BigIsland_BlackWaterDive_Jan6_2023/0025.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.;BigIsland_BlackWaterDive_Jan6_2023;simple
Israel_Eilat_Oct2022/0028.mp4;2 người thợ lặn;;mặc đồ lặn màu đen;;;;;nước trong xanh;độ sâu trung bình, ánh sáng mặt trời chiếu tới;video có chất lượng rõ nét;2 người thợ lặn đang bơi;video quay cận cảnh rõ nét phần thân của 1 người thợ lặn, hai người thợ lặn bơi ngang qua;góc quay ngang bao quát toàn cảnh;Two divers wearing black diving suits are swimming underwater in the clear blue water. The video is of high quality, capturing them swimming. It provides a close-up, clear shot of one diver's body, while the two divers swim past. The camera angle provides a panoramic view of the scene.;Israel_Eilat_Oct2022;simple
SanDiego_23Apr2023/0040.mp4;xác tàu đắm;;gỉ sét;khá lớn;;;;nước xanh ngọc, khá đục;khá sâu,dùng đèn pin;video có chất lượng rõ nét;;quay xung quanh;góc quay ngang bao quát toàn cảnh;A large, rusty shipwreck lies in the murky emerald green water at a significant depth, illuminated by flashlights. The high-quality video captures this scene with a panoramic, horizontal view.;SanDiego_23Apr2023;simple
LaJolle_KelpBed_22Apr2023/0026.mp4;loài tảo mini dưới đáy biển;nhỏ xíu có màu nâu đặc trưng;có màu nâu đặc trưng của loài tảo;kích thước nhỏ xíu;;;;môi trường nước trong có hơi xen lẫn giữa chất thải từ các loài động vật;;độ rõ nét video được coi là tương đối vì có đa dạng màu sắc được gghi vào khung hình;khả năng di chuyển hay đung đưa theo nước của loài tảo này là không;vị trí camera là toàn cảnh để người xem thấy rõ được loài tảo biển này;góc máy quay tịnh tiến để có thể tháy rõ hơn loại tảo này;Underneath the ocean floor, there are tiny miniature brown algae, characteristic of the environment. The water is somewhat clear but interspersed with waste. The video's clarity is relatively good, capturing a variety of colors. The algae remain stationary, and the panoramic camera allows viewers to see clearly. The forward motion of the camera provides even greater clarity.;LaJolle_KelpBed_22Apr2023;simple
SanDiego_23Apr2023/0018.mp4;xác tàu đắm;;gỉ sét;khá lớn;;;;nước biển xanh ngọc;khá sâu,dùng đèn pin;video có chất lượng rõ nét;;quay xung quanh;quay góc ngang, bao quát toàn cảnh;A large, rusty shipwreck lies in the emerald green water at a significant depth, illuminated by flashlights. The high-quality video captures this scene with a panoramic, horizontal view.;SanDiego_23Apr2023;simple
Nusa_penida_Aug15_2023/0044.mp4;1 con cá đuối;;màu xám đen;kích thước lớn;;;;nước trong xanh;;chất lượng cao, quay rõ nét;con cá đuối đang nằm yên trên bãi cát xung quanh là các rạn san hô;video quay rõ nét cận cảnh con cá đuối;góc quay ngang bao quát toàn cảnh;Under the ocean floor, a large, gray-black stingray lies peacefully on the sandy bed near the coral reefs. The water is clear, with high-quality video capturing close-ups of the stingray. The footage provides panoramic shots, encompassing the entire underwater scene.;Nusa_penida_Aug15_2023;simple
Israel_Eilat_Oct2022/0016.mp4;xác tàu đắm;;gỉ sét;thợ lặn bơi quanh;;;;nước trong xanh;độ sâu trung bình, ánh sáng vẫn chiếu tới;chất lượng tốt, rõ;thợ lặn thở bong bóng;quay xung quanh;góc máy ngang, quay góc rộng;The sunken shipwreck, covered in rust, is surrounded by divers swimming around. The water is clear, with moderate depth, and light still shines through, maintaining good visibility. The video quality is good, clear, capturing the bubbles as divers breathe. It pans around with a horizontal camera angle and wide shot.;Israel_Eilat_Oct2022;simple
WestPalmBeach_May2023/0009.mp4;cá mập;;màu xanh;kích thước trung bình;;;;nước xanh lam;đồ sâu trung bình, ánh sáng mặt trời chiếu tới;chất lượng tốt, khá rõ;cá mập bơi khá nhanh, thợ lặn bơi gần đó;quay xung quanh;quay góc rộng và ngang;The medium-sized blue sharks swiftly navigate through the coral reef, surrounded by blue water. The slightly murky water allows sunlight to penetrate, providing optimal conditions for quick movements as they circle around;WestPalmBeach_May2023;simple
Nusa_penida_Aug15_2023/0012.mp4;cá đuối chấm xanh;;màu xám có những chấm xanh;kích thước lớn;;;;nước trong xanh;ánh sáng tối;chất lượng cao, quay rõ nét;con cá đuối chấm xanh đang bơi xung quanh dưới đáy biển;video quay rõ nét con cá;góc quay ngang bao quát toàn cảnh;At the seabed, a large green-spotted stingray with gray scales adorned by green spots swims under weak light. The water is smooth and clear, ensuring high-quality image recording of the stingray's movements. The video captures the stingray swimming around sharply, with a wide-angle view encompassing the underwater scene.;Nusa_penida_Aug15_2023;simple
KAUST_Jun2023/0057.mp4;con cá;;màu bạc;kích thước trung bình;;;;nước biển trong xanh;ánh sáng ban ngày;video có chất lượng rõ nét;cá đang bơi;quay xung quanh;góc quay ngang bao quát toàn cảnh;A medium-sized, silvery fish swims in the crystal-clear blue water under daylight. The high-quality video captures it swimming with a panoramic, horizontal view.;KAUST_Jun2023;simple
WestPalmBeach_May2023/0176.mp4;sứa biển;;trong suốt;trung bình;;;;nước trong xanh;sâu trung bình, ánh sáng mặt trời;chất lượng tốt, rõ;;quay xung quanh;góc quay rộng, toàn cảnh;Transparent, medium-sized jellyfish drift in clear blue water. Sunlight creates good, clear quality. Filming around with a wide angle, panoramic view captures the delicate beauty of the jellyfish and its surroundings.;WestPalmBeach_May2023;simple
BigIsland_BlackWaterDive_Jan6_2023/0044.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.;BigIsland_BlackWaterDive_Jan6_2023;simple
SanDiego_23Apr2023/0039.mp4;xác tàu đắm;;gỉ sét;khá lớn;;;;nước xanh ngọc, khá đục;khá sâu,dùng đèn pin;video có chất lượng rõ nét;;quay xung quanh;góc quay ngang bao quát toàn cảnh;A large, rusty shipwreck lies in the murky emerald green water at a significant depth, illuminated by flashlights. The high-quality video captures this scene with a panoramic, horizontal view.;SanDiego_23Apr2023;simple
MontereyBay_Jun2023/0062.mp4;loài tảo biến lớn;;có màu nâu hoặc xanh;kích thước lớn;;;;môi trường nước trong, nhưng hơi đục do dòng hai lưu;ánh sáng nhè nhẹ;video có độ rõ nét cao;dòng hải lưu chảy mạnh;vị trí camera một phần;góc quay ngang, rộng;The large seaweed has either a brown or green color and is large in size. The water is clear but slightly murky due to a strong current, with gentle light. The video is high definition. The strong current flows through, and the camera is partially positioned, capturing a wide horizontal angle.;MontereyBay_Jun2023;simple
BigIsland_BlackWaterDive_Jan6_2023/0034.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.;BigIsland_BlackWaterDive_Jan6_2023;simple
Eqypt_Oct2022/0058.mp4;1 sinh vật biển;;màu vàng;kích thước nhỏ;;;;nước hơi đục;;chất lượng vừa phải, quay rõ sinh vật;sinh vật biển đang bơi chậm rãi;video quay rõ sinh vật biển;góc quay từ trên xuống;In the video clip, a small yellow sea creature is leisurely swimming in slightly murky water. While the video quality is moderate, it clearly captures the creature from an overhead perspective.;Eqypt_Oct2022;simple
PhuQuoc_Jun2022/0010.mp4;đàn cá;;màu bạc;thon dài;;;;nước trong xanh;độ sâu trung bình, có ánh sáng mặt trời;chất lượng ổn, rõ;;quay xung quanh;góc máy ngang, quay toàn cảnh;A school of slender, silver fish swims gracefully in the clear blue water. At a medium depth with sunlight filtering through, the scene is crisp and vivid. The camera moves around, at a horizontal angle, capturing the entire scene in high quality.;PhuQuoc_Jun2022;simple
TelAviv_Caesarea_Oct2022/0046.mp4;rặng đá ngầm;dày đặc, to, gồ ghề;mày xanh rêu,xanh đậm;to, gồ ghề;;;;môi trường nước trong suốt;ánh sáng chiếu xuyên qua;hơi mờ;;vị trí camera quay toàn cảnh;quay bao quát từ phải sang trái rồi từ trái sang phải;The underwater scenery consists mainly of densely clustered, rugged rock formations, adorned in rich mossy green tones. Despite the transparent water allowing light to filter through, visibility still remains somewhat obscured. The panoramic camera scans from right to left and then left to right, recording the vastness of the rugged landscape.;TelAviv_Caesarea_Oct2022;simple
Tulamben1_Jun2022/0091.mp4;rặng san hô;đa dạng mẫu mã;đa dạng màu sắc;có to, có nhỏ;;;;môi trường trong vắt;ánh sáng không thể chiếu xuyên qua được, phải sử dụng đèn pin để hỗ trợ;video có độ rõ nét cao;thợ lặn bơi từ từ;góc camera toàn phần;góc quay dọc, tiến về phía trước;Trong video, rặng san hô thường thể hiện sự đa dạng về mẫu mã và màu sắc, bao gồm cả các san hô lớn và nhỏ. Trong môi trường nước trong vắt, ánh sáng thường không thể chiếu xuyên qua được, vì vậy cần sử dụng đèn pin để hỗ trợ. Tuy nhiên, video thường có độ rõ nét cao, cho phép quay lại hình ảnh chi tiết của rặng san hô. Thợ lặn thường bơi từ từ để khám phá không gian một cách cẩn thận. Camera được đặt ở vị trí toàn phần và quay từ góc quay dọc, tiến về phía trước để thu được cảnh quan toàn diện và sinh động.;Tulamben1_Jun2022;simple
Silverstrand_Aug2022/0023.mp4;rặng đá;;nâu, gồ ghề;lớn;;;;nước trong xanh;độ sâu trung bình, có ánh sáng mặt trời;chất lượng ổn, rõ;;quay xung quanh;góc máy ngang, quay toàn cảnh;The large, rugged brown reef lies in clear blue water at medium depth, illuminated by sunlight. The water quality is very clear, with a panoramic view and horizontal angle, circling around the reef, creating an impressive underwater scene.;Silverstrand_Aug2022;simple
Nusa_penida_Aug15_2023/0033.mp4;vách đá dưới đáy biển;;;kích thước khổng lồ;;;;nước hơi đục;ánh sáng tối;video hơi mờ do ánh sáng tối;;video quay cận cảnh vách đá;góc quay từ thấp quay lên bao quát toàn cảnh;Under the ocean floor, there are colossal rock walls. The water is somewhat murky, with dim light, causing the video to be slightly blurred. It captures close-ups of the rock walls, with shots starting from a low angle and panning up to encompass the entire scene.;Nusa_penida_Aug15_2023;simple
Eqypt_Oct2022/0048.mp4;đàn cá song da báo;;màu bạc;kích thước trung bình bé;;;;nước trong xanh;sâu trung bình, vẫn có ánh sáng mặt trời;chất lượng cao, quay rõ nét;chuyển động của đàn cá;quay xung quanh đàn cá;quay góc hẹp, quay ngang;A school of silver-colored clownfish, medium to small in size, swimming in clear blue water. Moderately deep with sunlight, shot in a narrow angle to capture the movement of the fish with high clarity;Eqypt_Oct2022;simple
PhuQuoc_Jun2022/0011.mp4;đàn cá;;màu bạc;thon dài;;;;nước trong xanh;độ sâu trung bình, có ánh sáng mặt trời;chất lượng ổn, rõ;;quay xung quanh;góc máy ngang, quay toàn cảnh;A school of slender, silver fish swims gracefully in the clear blue water. At a medium depth with sunlight filtering through, the scene is crisp and vivid. The camera moves around, at a horizontal angle, capturing the entire scene in high quality.;PhuQuoc_Jun2022;simple
